,test_dim,max_acc,min_loss
0,1,0.758333333333,0.504239495436
1,1,0.756666666667,0.504214099566
2,1,0.757333333333,0.503510387659
3,1,0.757666666667,0.504282960494
4,1,0.752666666826,0.51002545174
5,1,0.752333333492,0.508447613478
6,1,0.753333333492,0.508049483697
7,1,0.752000000159,0.508891052008
8,1,0.748999999841,0.507307336569
9,1,0.750999999841,0.508296861728
10,1,0.749666666508,0.507931652943
11,3,0.776333333174,0.488638061682
12,3,0.764333333333,0.517179577112
13,3,0.759333333492,0.520632321517
14,3,0.76,0.51430004104
15,3,0.756333333492,0.520134601752
16,3,0.747666666508,0.518402781725
17,3,0.764333333333,0.501688534816
18,3,0.768666666667,0.510537868659
19,3,0.753666666667,0.525410765966
20,3,0.758666666508,0.522109280189
21,3,0.756333333174,0.508754444997
22,5,0.760666666826,0.521599778255
23,5,0.766,0.528544095357
24,5,0.761000000159,0.52441816322
25,5,0.766999999841,0.504167576551
26,5,0.759333333174,0.511994005362
27,5,0.758666666508,0.521155149539
28,5,0.762666666508,0.506787770192
29,5,0.767333333333,0.519546048323
30,5,0.772333333174,0.520123457273
31,5,0.754666666826,0.527487745762
32,5,0.770999999841,0.50350949343
33,7,0.756000000159,0.523328255971
34,7,0.758,0.52058706665
35,7,0.756333333333,0.545229133447
36,7,0.765666666667,0.516187209447
37,7,0.759666666826,0.542536934614
38,7,0.758000000159,0.514067165295
39,7,0.759333333492,0.517046791236
40,7,0.765333333333,0.513234511455
41,7,0.754333333174,0.521498118083
42,7,0.754,0.524424824158
43,7,0.768333333492,0.510993714968
44,10,0.758333333174,0.523034227053
45,10,0.750000000159,0.530761437416
46,10,0.76,0.524699415048
47,10,0.751666666826,0.531555001656
48,10,0.750000000159,0.540662457943
49,10,0.756999999841,0.519167583783
50,10,0.757333333333,0.520344584783
51,10,0.752666666667,0.518818307718
52,10,0.757999999841,0.51947713836
53,10,0.753,0.521637559334
54,10,0.755999999841,0.524202501615
