,xs2,rs,serrs,qerrs
10,100,0.9461317900368422,1.7216590422376723,0.9065978263475389
50,2500,0.9597690485985003,2.3902678303064464,1.3166441000953142
75,5625,0.9551085744759045,2.5529681206227726,1.3838513450800167
90,8100,0.9576536634457585,2.612955697924864,1.4371495529211529
100,10000,0.9617659747518142,2.596886514214462,1.4795488509028272
150,22500,0.9793740722945264,2.7862365602393253,1.6169473803498617
200,40000,0.9804917139259824,2.8366385780953887,1.5839843859232734
315,99225,0.9781546339707653,2.7754253165513805,1.502181828799546
400,160000,0.9776787830230367,2.6029448364523566,1.386455969480218
600,360000,0.9849911196519762,2.153730659042572,0.939073806248725
800,640000,0.9999865413309946,0.8989445560182757,0.13173404471224118
